Test Name:,"UCT_AST_9AH_B01_CHG",
Test Date:,"2024/05/10 02:41:30 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 8",
Name:,"Channel 8",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:07:37.8",1,1,1,1,4,="0:02:09.0",0.21,13.700,2.8,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:38.8",1,1,1,1,4,="0:02:10.0",0.21,13.701,2.8,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:39.8",1,1,1,1,4,="0:02:11.0",0.20,13.700,2.7,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:40.8",1,1,1,1,4,="0:02:12.0",0.20,13.701,2.7,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:41.8",1,1,1,1,4,="0:02:13.0",0.21,13.701,2.8,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:42.8",1,1,1,1,4,="0:02:14.0",0.21,13.700,2.8,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:43.8",1,1,1,1,4,="0:02:15.0",0.21,13.700,2.8,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:44.8",1,1,1,1,4,="0:02:16.0",0.20,13.700,2.7,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:45.8",1,1,1,1,4,="0:02:17.0",0.20,13.700,2.7,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:46.8",1,1,1,1,4,="0:02:18.0",0.20,13.699,2.7,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:47.8",1,1,1,1,4,="0:02:19.0",0.20,13.700,2.7,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:48.8",1,1,1,1,4,="0:02:20.0",0.20,13.701,2.7,0.00,0.12,0.0,0.0,CHRG, ,
